destination,vol
Malaysia,120082
Hong Kong,59009
Thailand,56260
Taiwan,30200
Mainland China,28654
South Korea,18751
Indonesia,13278
Turkey,6492
India,5387
El Salvador,5042
Philippines,3799
Germany,2928
Bangladesh,1144
Honduras,1022
Singapore,787
Japan,574
Slovenia,426
Pakistan,380
Netherlands,326
Spain,304
Ethiopia,245
Ecuador,243
Belgium,234
Peru,226
Cambodia,217
Costa Rica,216
Saudi Arabia,207
South Africa,152
Australia,127
Czech Republic,102
Russia,79
Kenya,63
Portugal,58
Guatemala,54
United Kingdom,47
Lebanon,44
Colombia,40
Laos,37
Sri Lanka,36
Greece,36
Afghanistan,22
United Arab Emirates,22
Burma,21
Brazil,20
New Zealand,4
Vietnam,37894
